Date,Gold_Price_USD,Silver_Price_USD,Gold_Daily_Pct,Gold_30D_Return_Pct,Gold_30D_Ann_Vol_Pct,Gold_Drawdown_Pct,Silver_Daily_Pct,Silver_30D_Return_Pct,Silver_30D_Ann_Vol_Pct,Silver_Drawdown_Pct
2025-05-15,2068.36,29.17,0.2205,-7.573,9.2294,-8.8872,0.9343,2.5668,21.0108,-3.8563
2025-05-16,2067.17,29.05,-0.0575,-7.5452,9.2347,-8.9397,-0.4114,3.8242,20.4407,-4.2518
2025-05-17,2079.1,29.15,0.5771,-7.2518,9.4338,-8.4141,0.3442,6.0771,19.6177,-3.9222
2025-05-18,2067.6,28.63,-0.5531,-7.0967,9.374,-8.9207,-1.7839,4.3748,20.4245,-5.6361
2025-05-19,2078.19,28.67,0.5122,-7.1785,9.308,-8.4542,0.1397,4.2545,20.4221,-5.5043
2025-05-20,2078.38,29.11,0.0091,-6.5926,9.2677,-8.4458,1.5347,2.6808,18.9152,-4.0541
2025-05-21,2071.85,29.33,-0.3142,-6.079,9.0764,-8.7335,0.7558,2.0174,18.612,-3.3289
2025-05-22,2074.86,29.24,0.1453,-5.4514,9.0822,-8.6009,-0.3069,1.0017,18.5474,-3.6256
2025-05-23,2064.99,29.57,-0.4757,-5.6914,9.1208,-9.0357,1.1286,3.3194,18.4587,-2.5379
2025-05-24,2057.54,29.9,-0.3608,-5.5329,9.0804,-9.3639,1.116,5.8033,18.2044,-1.4502
2025-05-25,2050.8,30.06,-0.3276,-6.5631,8.6183,-9.6608,0.5351,7.7419,17.684,-0.9229
2025-05-26,2053.31,30.34,0.1224,-6.4598,8.6506,-9.5502,0.9315,7.665,17.6586,0.0
2025-05-27,2052.02,30.76,-0.0628,-5.6868,8.4296,-9.607,1.3843,7.8163,17.7326,0.0
2025-05-28,2024.95,30.47,-1.3192,-7.1414,8.9354,-10.7995,-0.9428,5.5787,17.8508,-0.9428
